Gene Name
MUL1
UBR2
UBR1
UBE2O
UBR3
RBX1
UBE2I
SMURF2
UBE3A
WWP1
SMURF1
HUWE1
UBR5
MARCHF5
HACE1
TRIP12
RNF135
HECW2
DZIP3
HECW1
UBE2D3
UBE2D2
CDC34
UBE2D1
UBE2N
UBE2L3
NEDD4L
WDR12
MARCHF10
RNF111
TRIM23
LRSAM1
RNF167
RFFL
NEDD4
UBE1C
FANCL
MEX3C
RAD18
RNF216
GRIK2
FBXW11
AREL1
HERC4
UBE3D
AARS1
RNF166
TRIM31
MDM2
KEAP1
TRAF3IP2
COP1
TRIM21
RFWD2
MSL2
TRIM41
DCAF10
HEEL
UBR4
CHFR
DTX2
HECTD1
LNX1
TRIM22
WFS1
DKFZp434G0715
RNF8
NEURL1
RNF123
CUL9
TRIM39
RNF144A
MID1
GCLC
BRCA1
PDZRN3
FBXL22
TRIM56
JADE2
HERC1
NSMCE1
HDM2
SPSB3
RNF13
TRIM25
TRIM8
ZNRF1
ARIH1
RBBP6
MKRN1
RNF14
RNF34
MKRN3
CUL3
PARK2
CUL1
HERC2
MARCHF2
RNF114
RNF182
HECTD4
ERLIN2
ITCH
UBR7
PRKN
CBLC
UBE1L2
CBLB
ANAPC11
RNF20
RNF25
TTC3
TRIM17
RNF217
CACYBP
RNF19A
HERC5
MKRN2
ARIH2
UNKL
CUL2
HLA-DQB1
BOK
ZNF598
LTN1
RNF180
MIB2
RNF157
UCHL1
SH3RF2
PELI1
RNF41
FBXO11
FZR1
TRIM37
CBL
RNF170
RNF2
ZER1
TRIM11
MGRN1
CCNB1IP1
RNF165
PELI3
WDR51B
RNF130
KATNAL1
TRIM36
MARCHF6
RNF181
MAEA
ZYG11B
TRIM69
TP53
TRIM68
PPIL2
ZYG11BL
DKFZp779A0729
TRIM33
UBE4A
PPP1R11
RNF5
G2E3
TRIM32
MYCBP2
HERPUD1
PIAS3
CUL4B
UBE4B
RNF31
CUL4A
HERC6
RFWD3
KLHL7
c-Cbl
PTEN
RNF40
HERC3
TRAF7
RNF126
HEL-S-305
CUL5
ZNF746
ZNF451
NOSIP
CRK
UBE1
CBLL1
WWP2
TRIM47
UBE3B
RNF187
DDB2
TRIM51GP
TRAIP
RNFT1
TRIM40
NEURL3
TRIM35
ASB8
RNF139
SIAH1
KLHL8
HECTD3
FBXO8
PRPF19
FBXO31
KLHL22
RNF168
UBB
FBXW5
STUB1
UHRF2
ARKL2
DKFZp547P028
TRIML2
DKFZp686N10185
RNF4
ANKIB1
RNF185
UHRF1
AMFR
ERLIN1
RNF220
JTV1
BID
UBADC1
SHPRH
TRIM9
DCST1
RNFT2
SH3RF1
DTX3
MDM2 isoform N1_40
KCMF1
FBX3
RAG1
TMEM129
MARCHF7
DKFZp434K0926
KATNA1
CUL7
PELI2
RNF213
RNF169
RNF149
RNF146
SYVN1
DKFZp564G092
RING1
RNF125
RNF152
WDR57
CRSP9
PJA1
DKFZp686P15123
TRIM13
SKP1
TMEM118
RNF183
FANCI
HECTD2
XIAP
RNF128
BTRC
TRIM4
RMND5B
FBXO34
RNF7
FLJ00221
UBA3
MARCHF8
HEL-117
ZSWIM2
DKFZp564H223
UBE3C
SURB7
PIAS1
EIF2AK4
MARCHF1
PIAS2
RANGAP1
SMU1
SKP2
mdm2
CRSP8
PAX6
MID2
BECN1
UBA6
ZSWIM8
RNF138
IBRDC1
RPS27AP5
NEDL1
SIAH2
MARCHF11
ZEB2
WDR82
ZC3H12A
UBE2Q1
WDR53
TNFRSF1B
USP13
PSMD10
RAB40C
RPL23
SOCS3
SPSB2
UFC1
WDTC1
TNKS
RPS27A
SCAMP3
TBC1D3I
SNX18
SH3RF3
TRIM14
TRIM75P
UBXN7
PPARGC1A
PRAMEF9
PRAME
PSMD4
PSMD5
RNF133
RNF186
RRAGA
SNCAIP
