,Unnamed: 0,corr_train,corr_test,r2_train,r2_test,num_obs,num_features,nrmse,baseline_nrmse,tumor,method,feature,measure
39,max,0.995947828729286,0.9475070039638052,0.9660169574983009,0.817852234653919,180.0,10869.0,1.2248008204920249,1.311672781939255,tumor2,forest,all,max
40,count,10495.0,10495.0,10495.0,10495.0,10495.0,10495.0,10495.0,10495.0,tumor2,elastic,single,count
41,mean,0.3345447328640848,0.3099438999920202,0.0759360531270656,-0.2040581920229317,152.8406860409719,1.0,0.4331102393098611,0.4421516173613648,tumor2,elastic,single,mean
42,std,0.2098209744824578,0.2537986016980976,0.5361997240187465,15.63838367682501,42.334881576768026,0.0,0.3472499144927007,0.1359933541664478,tumor2,elastic,single,std
43,min,-0.245471256157782,-0.7079793433585041,-45.05376070754144,-1587.063080072449,40.0,1.0,0.174502552668842,0.1845026540434989,tumor2,elastic,single,min
44,25%,0.172159747749957,0.1002482728124604,-0.003984703683837,-0.0789736641469744,132.0,1.0,0.3305391589628053,0.3478196878119904,tumor2,elastic,single,25%
45,50%,0.3390151383026646,0.3281323494330365,0.069535044482813,0.0097771410884553,180.0,1.0,0.3890624506389671,0.410897634432692,tumor2,elastic,single,50%
46,75%,0.5022001846631876,0.5092909679727692,0.2003340821269347,0.1494411147473321,180.0,1.0,0.4810844588431449,0.5052450438076082,tumor2,elastic,single,75%
47,max,0.8971535293983766,0.9208748410576428,0.7484931103270676,0.8012876390493575,180.0,1.0,30.100944476925687,1.311672781939255,tumor2,elastic,single,max
48,count,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,tumor2,elastic,corum,count
49,mean,0.3756963121302062,0.3216461853272957,0.1039075902771827,-0.204663454120263,152.8227619047619,7.590190476190476,0.4320202269693712,0.4422077677602446,tumor2,elastic,corum,mean
50,std,0.2112164378020594,0.2511166993964148,0.5360181081962375,15.66578531784108,42.35031760077192,23.256999924578853,0.348075376440428,0.136161146367825,tumor2,elastic,corum,std
51,min,-0.245471256157782,-0.7334739868501833,-45.05376070754144,-1587.063080072449,40.0,1.0,0.1403529804096232,0.1845026540434989,tumor2,elastic,corum,min
52,25%,0.2240205326937779,0.1247899334710035,-7.357760675991143e-05,-0.0761756666025462,132.0,1.0,0.3278572000740108,0.3478529829726431,tumor2,elastic,corum,25%
